vehicle_year,vehicle_make,vehicle_model,vehicle_vin
1981,DELOREAN,DMC-12,SCEDT26T7BD006661
1982,MERCEDES-BENZ,380SL,WDBBA45A2CB015234
1982,FERRARI,308,ZFFAA02A2C0040027
1982,PONTIAC,FIREBIRD,1G2AS87H6CN521776
1982,MERCEDES-BENZ,380SL,WDBBA45A7CB018159
1982,TOYOTA,"LAND CRUISER",JT3FJ60G9C0027357
1982,AMC,EAGLE,1ACCK3654CK161597
1983,"LAND ROVER",DEFENDER,SALLDHAG7AA200495
1983,PORSCHE,911,WP0AA0914DS122237
1983,PORSCHE,944,WP0AA0940DN463465
1983,MERCEDES-BENZ,380SL,WDBBA45A2DB022010
1984,PORSCHE,911,WP0EB0912ES170061
1984,MERCEDES-BENZ,380SL,WDBBA45A5EA014619
1984,JEEP,CJ,1JCCM87AXET080779
1985,MERCEDES-BENZ,190,WDB46021817044762
1985,TOYOTA,"LAND CRUISER",JT3FJ60G2F1127881
1985,PORSCHE,"911 SC",WP0EB0916FS170954
1985,"ALFA ROMEO",GTV-6,ZARAA6690F1006920
1985,CHEVROLET,"SILVERADO AND OTHER C/K1500",1GCEK14H2FF420502
1985,DODGE,"D/W TRUCK",1B7MD34WXFS558327
1985,MERCEDES-BENZ,380SL,WDBBA45C4FA033052
1986,MERCEDES-BENZ,560SL,WDBBA48D8GA036266
1986,MERCEDES-BENZ,560SL,WDBBA48D5GA051341
1986,MERCEDES-BENZ,560SL,WDBBA48D8GA048742
1987,MERCEDES-BENZ,560SL,WDBBA48D3HA074392
1987,MERCEDES-BENZ,"E CLASS",WDBEA30D7HA487886
1987,VOLKSWAGEN,CABRIOLET,WVWCA0159HK033602
1987,DODGE,"D/W TRUCK",1B7JD24T6HS389705
1987,PORSCHE,924,WP0AA0924HN451517
1987,FERRARI,328,ZFFXA20A7H0072553
1987,CHEVROLET,CORVETTE,1G1YY2181H5124362
1987,MERCEDES-BENZ,560SL,WDBBA48D8HA062884
1988,NISSAN,SENTRA,JN1PB21S1JU534092
1988,PORSCHE,911,WP0JB0938JS050677
1988,JAGUAR,XJ6,SAJHV164XJC535147
1988,PORSCHE,911,WP0EB0939JS070552
1988,MERCEDES-BENZ,560SL,WDBBA48D1JA089110
1988,PORSCHE,911,WP0JB0938JS050162
1988,FORD,MUSTANG,1FABP42EXJF300251
1988,PORSCHE,911,WP0EB0919JS170116
1988,LINCOLN,"MARK VII",1LNBM93E3JY782298
1988,CHRYSLER,"NEW YORKER",1C3BU6636JD244137
1988,TOYOTA,"LAND CRUISER",JT3FJ62G1J0085537
1988,ISUZU,"TROOPER II",JAACH18E9J7830441
1989,PORSCHE,944,WP0AA0942KN451184
1989,FORD,"E-350 AND ECONOLINE 350",1FTJE34G7KHB75302
1989,FORD,MUSTANG,1FABP40E8KF286967
1989,COBRA,COBRA,EM427SC0733101188
1989,MERCEDES-BENZ,560SL,WDBBA48D4KA094450
1989,FORD,BRONCO,1FMEU15H2KLA75259
1989,TOYOTA,PICKUP,JT4RN81P2K0030008
1989,MERCEDES-BENZ,560SL,WDBBA48D6KA100555
1989,JEEP,WRANGLER,2J4FY19E6KJ157976
1989,CADILLAC,"DE VILLE",1G6CD1159K4293350
1989,TOYOTA,PICKUP,JT4VN01D1K6002297
1990,MAZDA,RX-7,JM1FC3526L0709906
1990,JEEP,WRANGLER,2J4FY19E2LJ516676
1990,FORD,MUSTANG,XXXXXXXXXXXXXXXXX
